DC3000	241185	241186	241187	241188	241189	241190	241191	241193	241195	241199	241201	241203	241204	241205	241207	241211	241212	241216	241217	241219	241220	241227	241228	241231	241232	241234	241235	241237	241239	241241	241244	241247	241249	241250	241251	241252	241255	241256	241258	241261	241263	241266	241270	241271	241272	241273	241274	241275	241276	241277	241278	241279	241280	241281	241282	241283	241284	241285	241286	241287	241288	241289	241290	241291	241292	241293	241294	241296	241301	241303	241304	241309	241312	241317	241320	241326	241331	241333	241334	241335	241336	241338	241339	241342	241345	241346	241347	241348	241349	241351	241352	241353	241354	241361	241415	241417	241422	241423	241424	241425	241426	241431	241432	241458	241466	241467	241469	241472	241486	241492	241500	241501	241504	241507	241510	241544	241547	241563	241564	241565	241566	241567	241568	241569	241570	241571	241572	241573	241574	241575	241576	241578	241579	241580	241581	241582	241605	241613	241614	241616	241617	241620	241621	241630	241638
g3062	g4605	g4548	g4710	g4909	g4532	g5095	g5608	g5452	g4793	g4846	g5762	g4529	g4853	g4641	g5272	g4574	g4522	g3541	g4604	g4833	g4538	g5541	g4966	g4542	g4470	g4448	g4523	g4534	g4590	g4625	g4469	g4469	g4491	g4624	g4535	g4505	g4651	g5027	g4497		g4537	g4712	g4572	g4572		g5034	g4572	g4572	g4572	g4572	g4593	g4947	g4572	g5125	g4572	g4572	g4590	g4648	g5034	g4572	g4694	g4554	g4572	g4572	g4572	g4572	g3945	g4590	g4572	g4607	g4629			g4707		g4614		g5179	g4694	g5296			g4614	g5178	g4572	g5095	g4572	g4550	g5130	g4572	g5227	g4572	g4507		g3376	g3728	g5122	g4611	g4061	g4627	g4912	g4598	g4936	g5526	g5202	g4572	g4959	g4785	g4599	g5537	g4556	g4599	g4510	g4599	g4704	g5237	g4707	g4572	g5034	g5034	g3758	g4593	g4572	g4572	g4694	g4546	g4572	g5055	g4572	g4593	g4572	g4572	g4572	g4577	g4694	g4543	g5534	g5540	g5677		g4912	g5188	g4653	g4692	g4554
g3063	g4606	g4549	g4711	g4910	g4533	g5096	g5611	g5453	g4816	g4848	g5766	g4530	g4854	g4642	g5273	g4575	g4523	g3542	g4605	g4834	g4539	g5542	g4967	g4543	g4471	g4449	g4524	g4535	g4591	g4626	g4470	g4470	g4492	g4625	g4536	g4506	g4652	g5028	g4498		g4538	g4713	g4573	g4573		g5035	g4573	g4573	g4573	g4573	g4594	g4948	g4573	g5126	g4573	g4573	g4591	g4649	g5035	g4573	g4695	g4555	g4573	g4573	g4573	g4573	g3948	g4591	g4573	g4610	g4637			g4708		g4616		g5180	g4695	g5297			g4616	g5179	g4573	g5096	g4573	g4553	g5131	g4573	g5228	g4573	g4508		g3377	g3729	g5123	g4614	g4062	g4628	g4914	g4599	g4937	g5528	g5203	g4573	g4960	g4793	g4600	g5538	g4559	g4600	g4511	g4600	g4705	g5238	g4708	g4573	g5035	g5035	g3759	g4594	g4573	g4573	g4695	g4547	g4573	g5056	g4573	g4594	g4573	g4573	g4573	g4578	g4695	g4544	g5535	g5541	g5678		g4913	g5189	g4654	g4693	g4555
g3064	g4607	g4550	g4712	g4911	g4534	g5097	g5613	g5454	g4828	g4849	g5775	g4531	g4855	g4648	g5274	g4576	g4524	g3543	g4606	g4835	g4540	g5545	g4968	g4544	g4472	g4450	g4525	g4536	g4592	g4627	g4471	g4471	g4493	g4626	g4537	g4507	g4653	g5029	g4500		g4539	g4714	g4574	g4574		g5036	g4574	g4574	g4574	g4574	g4595	g4949	g4574	g5127	g4574	g4574	g4592	g4650	g5036	g4574	g4696	g4556	g4574	g4574	g4574	g4574	g3949	g4592	g4574	g4611	g4641			g4709		g4617		g5181	g4696	g5298			g4617	g5180	g4574	g5097	g4574	g4554	g5132	g4574	g5229	g4574	g4509		g3378	g3730	g5124	g4616	g4063	g4641	g4915	g4600	g4938	g5530	g5204	g4574	g4961	g4816	g4601	g5540	g4572	g4601	g4512	g4601	g4706	g5239	g4709	g4574	g5036	g5036	g3760	g4595	g4574	g4574	g4696	g4548	g4574	g5057	g4574	g4595	g4574	g4574	g4574	g4579	g4696	g4545	g5536	g5542	g5680		g4914	g5190	g4655	g4694	g4556
g3065	g4610	g4553	g4713	g4912	g4535	g5098	g5614	g5455	g4829	g4850		g4532	g4856	g4649	g5275	g4577	g4525	g3544	g4607	g4836	g4541	g5546	g4969	g4545	g4473	g4451	g4527	g4537	g4593	g4628	g4472	g4472	g4494	g4627	g4538	g4508	g4654	g5030	g4501		g4540	g4715	g4575	g4575		g5037	g4575	g4575	g4575	g4575	g4596	g4950	g4575	g5128	g4575	g4575	g4593	g4651	g5037	g4575	g4697	g4560	g4575	g4575	g4575	g4575	g3954	g4593	g4575	g4613	g4642			g4710		g4618		g5182	g4697	g5299			g4618	g5181	g4575	g5098	g4575	g4555	g5133	g4575	g5230	g4575	g4510		g3379	g3731	g5125	g4617	g4064	g4642	g4916	g4601	g4939	g5532	g5205	g4575	g4962	g4828	g4602	g5541	g4574	g4602	g4513	g4602	g4707	g5241	g4710	g4575	g5037	g5037	g3761	g4596	g4575	g4575	g4697	g4549	g4575	g5058	g4575	g4596	g4575	g4575	g4575	g4580	g4697	g4546	g5537	g5543	g5715		g4915	g5191	g4656	g4695	g4560
g3066	g4611	g4554	g4714	g4913	g4536	g5099	g5615	g5456	g4830	g4851		g4533	g4857	g4650	g5276	g4578	g4527	g3545	g4609	g4843	g4542	g5547	g4970	g4546	g4474	g4452	g4528	g4538	g4594	g4629	g4473	g4473	g4495	g4628	g4539	g4509	g4655	g5031	g4502		g4541	g4718	g4576	g4576		g5038	g4576	g4576	g4576	g4576	g4597	g4951	g4576	g5129	g4576	g4576	g4594	g4652	g5038	g4576	g4698	g4571	g4576	g4576	g4576	g4576	g3956	g4594	g4576	g4614	g4643			g4711		g4619		g5183	g4698	g5300			g4619	g5182	g4576	g5099	g4576	g4556	g5134	g4576	g5231	g4576	g4511		g3380	g3732	g5126	g4618	g4065	g4648	g4917	g4602	g4940	g5533	g5206	g4576	g4963	g4829	g4603	g5542	g4575	g4603	g4514	g4603	g4708	g5242	g4711	g4576	g5038	g5038	g3762	g4597	g4576	g4576	g4698	g4550	g4576	g5059	g4576	g4597	g4576	g4576	g4576	g4581	g4698	g4548	g5538	g5545	g5716		g4916	g5199	g4657	g4696	g4571
g3067	g4614	g4555	g4718	g4914	g4537	g5100	g5616	g5457	g4832	g4852		g4534	g4858	g4651	g5277	g4579	g4528	g3546	g4610	g4844	g4543	g5548	g4971	g4547	g4475	g4453	g4529	g4539	g4595	g4641	g4474	g4474	g4496	g4629	g4540	g4510	g4656	g5032	g4504		g4542	g4738	g4577	g4577		g5039	g4577	g4577	g4577	g4577	g4598	g4952	g4577	g5130	g4577	g4577	g4595	g4653	g5039	g4577	g4699	g4572	g4577	g4577	g4577	g4577	g3957	g4595	g4577	g4616	g4644			g4712		g4620		g5184	g4699	g5301			g4620	g5183	g4577	g5100	g4577	g4572	g5135	g4577	g5232	g4577	g4512		g3381	g3733	g5127	g4619	g4066	g4649	g4918	g4603	g4941	g5534	g5207	g4577	g4964	g4830	g4604	g5543	g4576	g4604	g4515	g4604	g4709	g5243	g4712	g4577	g5039	g5039	g3763	g4598	g4577	g4577	g4699	g4553	g4577	g5060	g4577	g4598	g4577	g4577	g4577	g4582	g4699	g4554	g5540	g5546	g5717		g4917	g5200	g4658	g4697	g4572
g3068	g4616	g4556	g4743	g4915	g4538	g5101	g5617	g5458	g4833	g4853		g4535	g4859	g4652	g5278	g4580	g4529	g3547	g4611	g4845	g4544	g5549	g4972	g4548	g4476	g4454	g4530	g4540	g4596	g4642	g4475	g4475	g4497	g4641	g4541	g4511	g4657	g5033	g4505		g4543	g4740	g4578	g4578		g5040	g4578	g4578	g4578	g4578	g4599	g4953	g4578	g5131	g4578	g4578	g4596	g4654	g5040	g4578	g4700	g4573	g4578	g4578	g4578	g4578	g3958	g4596	g4578	g4617	g4645			g4713		g4621		g5185	g4700	g5302			g4621	g5184	g4578	g5102	g4578	g4574	g5137	g4578	g5233	g4578	g4513		g3382	g3734	g5128	g4620	g4067	g4650	g4919	g4604	g4942	g5535	g5208	g4578	g4965	g4832	g4605	g5545	g4577	g4605	g4516	g4605	g4710	g5245	g4713	g4578	g5040	g5040	g3765	g4599	g4578	g4578	g4700	g4554	g4578	g5061	g4578	g4599	g4578	g4578	g4578	g4583	g4700	g4558	g5541	g5547	g5762		g4918	g5201	g4659	g4698	g4573
g3069	g4617	g4560	g4793	g4916	g4539	g5102	g5618	g5459	g4834	g4854		g4536	g4860	g4653	g5279	g4581	g4530	g3548	g4614	g4846	g4545	g5551	g4973	g4549	g4477	g4455	g4531	g4541	g4597	g4648	g4476	g4476	g4498	g4642	g4542	g4512	g4658	g5034	g4506		g4544	g4741	g4579	g4579		g5041	g4579	g4579	g4579	g4579	g4600	g4954	g4579	g5132	g4579	g4579	g4597	g4675	g5041	g4579	g4701	g4574	g4579	g4579	g4579	g4579	g3989	g4597	g4579	g4618	g4646			g4714		g4622		g5186	g4701	g5303			g4622	g5185	g4579	g5103	g4579	g4575	g5139	g4579	g5234	g4579	g4514		g3383	g3735	g5129	g4621	g4068	g4651	g4920	g4605	g4943	g5536	g5209	g4579	g4966	g4833	g4606	g5546	g4578	g4606	g4517	g4606	g4711	g5246	g4714	g4579	g5041	g5041	g3766	g4600	g4579	g4579	g4701	g4555	g4579	g5062	g4579	g4600	g4579	g4579	g4579	g4585	g4701	g4559	g5542	g5548	g5766		g4919	g5202	g4660	g4699	g4574
g3070	g4618	g4571	g4827	g4917	g4540	g5103	g5619	g5460	g4835	g4855		g4537	g4861	g4654	g5281	g4582	g4531	g3549	g4615	g4848	g4546	g5552	g4974	g4550	g4479	g4456	g4532	g4542	g4598	g4649	g4477	g4477	g4500	g4648	g4543	g4513	g4659	g5035	g4507		g4545	g4744	g4580	g4580		g5042	g4580	g4580	g4580	g4580	g4601	g4956	g4580	g5134	g4580	g4580	g4598	g4676	g5042	g4580	g4702	g4575	g4580	g4580	g4580	g4580	g3990	g4598	g4580	g4619	g4651			g4715		g4624		g5187	g4702	g5305			g4624	g5186	g4580	g5104	g4580	g4576	g5140	g4580	g5235	g4580	g4515		g3384	g3737	g5130	g4622	g4069	g4652	g4921	g4606	g4944	g5537	g5210	g4580	g4967	g4834	g4607	g5547	g4579	g4607	g4518	g4607	g4712	g5247	g4715	g4580	g5042	g5042	g3767	g4601	g4580	g4580	g4702	g4556	g4580	g5063	g4580	g4601	g4580	g4580	g4580	g4586	g4702	g4560	g5543	g5549	g5772		g4920	g5203	g4661	g4700	g4575
g3071	g4619	g4572	g4830	g4918	g4541	g5104	g5620	g5461	g4836	g4856		g4538	g4864	g4655	g5282	g4583	g4532	g3550	g4616	g4849	g4547	g5553	g4975	g4553	g4480	g4457	g4533	g4543	g4599	g4650	g4479	g4479	g4501	g4649	g4544	g4514	g4660	g5036	g4508		g4546	g4746	g4581	g4581		g5043	g4581	g4581	g4581	g4581	g4602	g4958	g4581	g5137	g4581	g4581	g4599	g4682	g5043	g4581	g4703	g4576	g4581	g4581	g4581	g4581	g3993	g4599	g4581	g4620	g4675			g4718		g4626		g5188	g4703	g5306			g4626	g5187	g4581	g5105	g4581	g4577	g5142	g4581	g5236	g4581	g4516		g3385	g3738	g5131	g4624	g4070	g4653	g4926	g4607	g4945	g5538	g5211	g4581	g4968	g4835	g4610	g5548	g4580	g4610	g4519	g4610	g4713	g5248	g4718	g4581	g5043	g5043	g3768	g4602	g4581	g4581	g4703	g4559	g4581	g5064	g4581	g4602	g4581	g4581	g4581	g4589	g4703	g4561	g5545	g5551			g4921	g5204	g4662	g4701	g4576
g3072	g4620	g4573	g4832	g4919	g4542	g5105	g5621	g5462	g4843	g4857		g4539	g4865	g4656	g5283	g4585	g4533	g3551	g4617	g4850	g4548	g5554	g4976	g4554	g4481	g4458	g4534	g4544	g4600	g4651	g4480	g4480	g4502	g4650	g4545	g4515	g4661	g5037	g4509		g4547	g4765	g4582	g4582		g5044	g4582	g4582	g4582	g4582	g4603	g4959	g4582	g5139	g4582	g4582	g4600	g4684	g5044	g4582	g4705	g4577	g4582	g4582	g4582	g4582	g3995	g4600	g4582	g4621	g4676			g4740		g4627		g5189	g4705	g5307			g4627	g5188	g4582	g5106	g4582	g4578	g5143	g4582	g5237	g4582	g4517		g3386	g3739	g5132	g4626	g4071	g4654	g4927	g4610	g4947	g5540	g5212	g4582	g4969	g4836	g4611	g5549	g4581	g4611	g4520	g4611	g4714	g5249	g4740	g4582	g5044	g5044	g3769	g4603	g4582	g4582	g4705	g4560	g4582	g5065	g4582	g4603	g4582	g4582	g4582	g4590	g4705	g4563	g5546	g5552			g4926	g5205	g4663	g4702	g4577
g3073	g4621	g4575	g4833	g4920	g4543	g5106	g5624	g5463	g4844	g4858		g4540	g4866	g4657	g5287	g4586	g4534	g3552	g4618	g4851	g4549	g5555	g4977	g4555	g4482	g4459	g4535	g4545	g4601	g4652	g4481	g4481	g4504	g4651	g4546	g4516	g4671	g5038	g4510		g4548	g4785	g4583	g4583		g5045	g4583	g4583	g4583	g4583	g4604	g4960	g4583	g5140	g4583	g4583	g4601	g4685	g5045	g4583	g4706	g4578	g4583	g4583	g4583	g4583	g3996	g4601	g4583	g4622	g4678			g4793		g4628		g5190	g4706	g5308			g4628	g5189	g4583	g5107	g4583	g4579	g5144	g4583	g5238	g4583	g4518		g3387	g3740	g5133	g4627	g4072	g4655	g4928	g4611	g4948	g5541	g5213	g4583	g4970	g4843	g4614	g5551	g4583	g4614	g4521	g4614	g4715	g5250	g4793	g4583	g5045	g5045	g3770	g4604	g4583	g4583	g4706	g4571	g4583	g5066	g4583	g4604	g4583	g4583	g4583	g4591	g4706	g4565	g5547	g5553			g4927	g5206	g4664	g4703	g4578
g3074	g4622	g4576	g4834	g4921	g4544	g5107	g5626	g5464	g4845	g4859		g4541	g4868	g4658	g5288	g4589	g4535	g3553	g4619	g4852	g4550	g5556	g4978	g4556	g4483	g4460	g4536	g4546	g4602	g4653	g4482	g4482	g4505	g4652	g4547	g4517	g4675	g5039	g4511		g4549	g4793	g4585	g4585		g5046	g4585	g4585	g4585	g4585	g4605	g4961	g4585	g5142	g4585	g4585	g4602	g4686	g5046	g4585	g4707	g4579	g4585	g4585	g4585	g4585	g3997	g4602	g4585	g4624	g4679			g4828		g4637		g5191	g4707	g5311			g4637	g5190	g4585	g5112	g4585	g4580	g5145	g4585	g5239	g4585	g4519		g3388	g3741	g5134	g4628	g4073	g4656	g4929	g4614	g4950	g5542	g5214	g4585	g4971	g4844	g4616	g5552	g4585	g4616	g4522	g4616	g4718	g5268	g4828	g4585	g5046	g5046	g3771	g4605	g4585	g4585	g4707	g4572	g4585	g5068	g4585	g4605	g4585	g4585	g4585	g4592	g4707	g4567	g5548	g5554			g4928	g5207	g4665	g4704	g4579
g3075	g4623	g4577	g4836	g4922	g4545	g5109	g5627	g5465	g4846	g4860		g4542	g4869	g4659	g5289	g4590	g4536	g3554	g4620	g4853	g4553	g5557	g4979	g4572	g4485	g4461	g4537	g4547	g4603	g4654	g4483	g4483	g4506	g4653	g4548	g4518	g4676	g5040	g4512		g4550	g4816	g4586	g4586		g5047	g4586	g4586	g4586	g4586	g4606	g4962	g4586	g5143	g4586	g4586	g4603	g4687	g5047	g4586	g4708	g4580	g4586	g4586	g4586	g4586	g4002	g4603	g4586	g4626	g4680			g4829		g4641		g5199	g4708	g5312			g4641	g5191	g4586	g5113	g4586	g4581	g5146	g4586	g5241	g4586	g4520		g3389	g3742	g5137	g4641	g4097	g4657	g4930	g4616	g4951	g5543	g5215	g4586	g4972	g4845	g4617	g5553	g4586	g4617	g4523	g4617	g4743	g5269	g4829	g4586	g5047	g5047	g3772	g4606	g4586	g4586	g4708	g4573	g4586	g5069	g4586	g4606	g4586	g4586	g4586	g4593	g4708	g4568	g5549	g5555			g4929	g5208	g4666	g4705	g4580
g3076	g4624	g4578	g4843	g4926	g4546	g5110	g5628	g5466	g4848	g4861		g4543	g4870	g4660	g5290	g4591	g4537	g3555	g4621	g4854	g4554	g5558	g4981	g4575	g4486	g4462	g4538	g4548	g4604	g4655	g4485	g4485	g4507	g4654	g4549	g4519	g4678	g5041	g4513		g4553	g4828	g4589	g4589		g5048	g4589	g4589	g4589	g4589	g4607	g4963	g4589	g5144	g4589	g4589	g4604	g4688	g5048	g4589	g4709	g4581	g4589	g4589	g4589	g4589	g4005	g4604	g4589	g4627	g4681			g4830		g4642		g5200	g4709	g5313			g4642	g5199	g4589	g5114	g4589	g4582	g5148	g4589	g5242	g4589	g4521		g3390	g3743	g5139	g4642	g4098	g4658	g4931	g4617	g4952	g5545	g5216	g4589	g4973	g4846	g4618	g5554	g4589	g4618	g4524	g4618	g4793	g5270	g4830	g4589	g5048	g5048	g3773	g4607	g4589	g4589	g4709	g4574	g4589	g5070	g4589	g4607	g4589	g4589	g4589	g4594	g4709	g4569	g5551	g5556			g4930	g5209	g4675	g4706	g4581
g3077	g4625	g4579	g4844	g4927	g4547	g5111	g5629	g5467	g4849	g4864		g4544	g4871	g4661	g5291	g4592	g4538	g3556	g4622	g4855	g4555	g5559	g4982	g4576	g4487	g4463	g4539	g4549	g4605	g4656	g4486	g4486	g4508	g4655	g4550	g4520	g4679	g5042	g4514		g4554	g4829	g4590	g4590		g5051	g4590	g4590	g4590	g4590	g4610	g4964	g4590	g5148	g4590	g4590	g4605	g4689	g5051	g4590	g4710	g4582	g4590	g4590	g4590	g4590	g4007	g4605	g4590	g4628	g4682			g4832		g4648		g5201	g4710	g5314			g4648	g5200	g4590	g5115	g4590	g4583	g5149	g4590	g5243	g4590	g4522		g3391	g3744	g5140	g4648	g4100	g4659	g4932	g4618	g4953	g5546	g5217	g4590	g4974	g4848	g4619	g5555	g4590	g4619	g4525	g4619	g4828	g5271	g4832	g4590	g5051	g5051	g3774	g4610	g4590	g4590	g4710	g4575	g4590	g5071	g4590	g4610	g4590	g4590	g4590	g4595	g4710	g4572	g5552	g5557			g4931	g5210	g4676	g4708	g4582
g3078	g4626	g4580	g4845	g4928	g4548	g5112	g5644	g5469	g4850	g4865		g4545	g4872	g4675	g5292	g4593	g4539	g3557	g4623	g4856	g4556	g5560	g4983	g4577	g4488	g4464	g4540	g4550	g4606	g4659	g4487	g4487	g4509	g4656	g4553	g4521	g4680	g5043	g4515		g4555	g4830	g4591	g4591		g5052	g4591	g4591	g4591	g4591	g4611	g4967	g4591	g5149	g4591	g4591	g4606	g4691	g5052	g4591	g4711	g4583	g4591	g4591	g4591	g4591	g4008	g4606	g4591	g4629	g4684			g4833		g4675		g5202	g4711	g5315			g4675	g5201	g4591	g5116	g4591	g4585	g5150	g4591	g5244	g4591	g4523		g3392	g3745	g5142	g4649	g4101	g4660	g4934	g4619	g4954	g5547	g5218	g4591	g4975	g4849	g4620	g5556	g4591	g4620	g4527	g4620	g4829	g5272	g4833	g4591	g5052	g5052	g3775	g4611	g4591	g4591	g4711	g4576	g4591	g5072	g4591	g4611	g4591	g4591	g4591	g4596	g4711	g4573	g5553	g5558			g4932	g5211	g4682	g4709	g4583
g3079	g4627	g4581	g4846	g4929	g4549	g5113	g5646	g5470	g4851	g4866		g4546	g4873	g4676	g5293	g4594	g4540	g3558	g4624	g4857	g4559	g5561	g4984	g4578	g4489	g4465	g4541	g4553	g4607	g4660	g4488	g4488	g4510	g4659	g4554	g4522	g4681	g5044	g4516		g4556	g4832	g4592	g4592		g5053	g4592	g4592	g4592	g4592	g4614	g4968	g4592	g5150	g4592	g4592	g4607	g4692	g5053	g4592	g4712	g4585	g4592	g4592	g4592	g4592	g4012	g4607	g4592	g4637	g4685			g4834		g4676		g5203	g4712	g5316			g4676	g5202	g4592	g5117	g4592	g4586	g5152	g4592	g5245	g4592	g4524		g3393	g3746	g5143	g4650	g4102	g4661	g4937	g4620	g4956	g5548	g5219	g4592	g4976	g4850	g4621	g5557	g4592	g4622	g4528	g4622	g4830	g5273	g4834	g4592	g5053	g5053	g3776	g4614	g4592	g4592	g4712	g4577	g4592	g5073	g4592	g4614	g4592	g4592	g4592	g4597	g4712	g4574	g5554	g5559			g4934	g5212	g4684	g4710	g4585
g3080	g4628	g4582	g4847	g4930	g4550	g5114	g5649	g5514	g4852	g4868		g4547	g4874	g4682	g5295	g4595	g4541	g3559	g4626	g4858	g4572	g5562	g4985	g4579	g4490	g4466	g4542	g4554	g4610	g4661	g4489	g4489	g4511	g4660	g4555	g4523	g4682	g5045	g4517		g4559	g4833	g4593	g4593		g5054	g4593	g4593	g4593	g4593	g4616	g4969	g4593	g5153	g4593	g4593	g4610	g4693	g5054	g4593	g4713	g4586	g4593	g4593	g4593	g4593	g4016	g4610	g4593	g4642	g4686			g4835		g4682		g5204	g4713	g5317			g4682	g5203	g4593	g5118	g4593	g4589	g5153	g4593	g5246	g4593	g4525		g3394	g3747	g5144	g4651	g4104	g4675	g4938	g4621	g4958	g5549	g5220	g4593	g4977	g4851	g4622	g5558	g4593	g4623	g4529	g4623	g4832	g5274	g4835	g4593	g5054	g5054	g3777	g4616	g4593	g4593	g4713	g4578	g4593	g5074	g4593	g4616	g4593	g4593	g4593	g4598	g4713	g4575	g5555	g5560			g4936	g5213	g4686	g4711	g4586
g3081	g4629	g4583	g4848	g4931	g4553	g5115	g5650	g5515	g4853	g4869		g4548	g4875	g4683	g5296	g4596	g4542	g3561	g4627	g4859	g4574	g5563	g4986	g4580	g4491	g4467	g4543	g4555	g4611	g4675	g4490	g4490	g4512	g4661	g4556	g4524	g4684	g5046	g4518		g4572	g4834	g4594	g4594		g5055	g4594	g4594	g4594	g4594	g4617	g4970	g4594	g5154	g4594	g4594	g4611	g4694	g5055	g4594	g4714	g4589	g4594	g4594	g4594	g4594	g4023	g4611	g4594	g4648	g4687			g4836		g4683		g5205	g4714	g5319			g4683	g5204	g4594	g5119	g4594	g4590	g5154	g4594	g5247	g4594	g4527		g3395	g3748	g5145	g4652	g4106	g4676	g4939	g4622	g4959	g5551	g5221	g4594	g4978	g4852	g4624	g5559	g4594	g4624	g4530	g4624	g4833	g5275	g4836	g4594	g5055	g5055	g3778	g4617	g4594	g4594	g4714	g4579	g4594	g5075	g4594	g4617	g4594	g4594	g4594	g4599	g4714	g4576	g5556	g5561			g4937	g5214	g4687	g4712	g4589
g3082	g4637	g4585	g4849	g4932	g4554	g5116	g5653	g5516	g4854	g4870		g4549	g4876	g4684	g5297	g4597	g4543	g3562	g4628	g4860	g4575	g5566	g4987	g4581	g4492	g4468	g4544	g4556	g4614	g4676	g4491	g4491	g4513	g4675	g4559	g4525	g4686	g5047	g4519		g4574	g4835	g4595	g4595		g5056	g4595	g4595	g4595	g4595	g4618	g4971	g4595	g5156	g4595	g4595	g4614	g4695	g5056	g4595	g4723	g4590	g4595	g4595	g4595	g4595	g4024	g4614	g4595	g4649	g4688			g4843		g4684		g5206	g4723	g5320			g4684	g5205	g4595	g5121	g4595	g4591	g5156	g4595	g5248	g4595	g4528		g3396	g3749	g5146	g4653	g4107	g4682	g4940	g4624	g4960	g5552	g5222	g4595	g4979	g4853	g4626	g5560	g4595	g4625	g4531	g4625	g4834	g5276	g4843	g4595	g5056	g5056	g3782	g4618	g4595	g4595	g4723	g4580	g4595	g5076	g4595	g4618	g4595	g4595	g4595	g4600	g4723	g4577	g5557	g5562			g4938	g5215	g4688	g4713	g4590
g3083	g4641	g4586	g4850	g4934	g4555	g5117	g5661	g5519	g4855	g4871		g4550	g4877	g4686	g5298	g4598	g4544	g3563	g4629	g4861	g4576	g5567	g4988	g4583	g4493	g4469	g4545	g4559	g4616	g4682	g4492	g4492	g4514	g4676	g4572	g4527	g4687	g5051	g4520		g4575	g4836	g4596	g4596		g5057	g4596	g4596	g4596	g4596	g4619	g4972	g4596	g5159	g4596	g4596	g4616	g4696	g5057	g4596	g4724	g4591	g4596	g4596	g4596	g4596	g4025	g4616	g4596	g4650	g4689			g4844		g4686		g5207	g4724	g5321			g4686	g5206	g4596	g5122	g4596	g4592	g5159	g4596	g5249	g4596	g4529		g3397	g3750	g5148	g4654	g4111	g4683	g4941	g4626	g4961	g5553	g5224	g4596	g4981	g4854	g4627	g5561	g4596	g4626	g4532	g4626	g4835	g5277	g4844	g4596	g5057	g5057	g3783	g4619	g4596	g4596	g4724	g4581	g4596	g5077	g4596	g4619	g4596	g4596	g4596	g4601	g4724	g4578	g5558	g5563			g4939	g5216	g4691	g4714	g4591
g3084	g4642	g4589	g4851	g4936	g4556	g5118	g5662	g5520	g4856	g4872		g4553	g4878	g4687	g5299	g4599	g4545	g3564	g4641	g4864	g4577	g5568	g4989	g4584	g4494	g4470	g4546	g4572	g4617	g4684	g4493	g4493	g4515	g4682	g4574	g4528	g4688	g5052	g4521		g4576	g4843	g4597	g4597		g5058	g4597	g4597	g4597	g4597	g4620	g4973	g4597	g5161	g4597	g4597	g4617	g4697	g5058	g4597	g4741	g4592	g4597	g4597	g4597	g4597	g4026	g4617	g4597	g4651	g4691			g4845		g4687		g5208	g4741	g5322			g4687	g5207	g4597	g5123	g4597	g4593	g5160	g4597	g5250	g4597	g4530		g3398	g3751	g5149	g4655	g4114	g4684	g4942	g4627	g4962	g5554	g5225	g4597	g4982	g4855	g4628	g5562	g4597	g4627	g4533	g4627	g4836	g5278	g4845	g4597	g5058	g5058	g3784	g4620	g4597	g4597	g4741	g4582	g4597	g5078	g4597	g4620	g4597	g4597	g4597	g4602	g4741	g4579	g5559	g5566			g4940	g5217	g4692	g4715	g4592
g3085	g4648	g4590	g4852	g4937	g4559	g5119	g5663	g5521	g4857	g4873		g4554	g4879	g4688	g5300	g4600	g4546	g3565	g4642	g4865	g4578	g5569	g4990	g4585	g4495	g4471	g4547	g4574	g4618	g4685	g4494	g4494	g4516	g4684	g4575	g4529	g4689	g5053	g4522		g4577	g4844	g4598	g4598		g5059	g4598	g4598	g4598	g4598	g4621	g4974	g4598	g5163	g4598	g4598	g4618	g4698	g5059	g4598	g4742	g4593	g4598	g4598	g4598	g4598	g4027	g4618	g4598	g4652	g4692			g4846		g4688		g5209	g4742	g5323			g4688	g5208	g4598	g5124	g4598	g4594	g5161	g4598	g5268	g4598	g4531		g3399	g3752	g5150	g4656	g4115	g4686	g4943	g4628	g4963	g5555	g5226	g4598	g4983	g4856	g4641	g5563	g4598	g4628	g4534	g4628	g4843	g5279	g4846	g4598	g5059	g5059	g3786	g4621	g4598	g4598	g4742	g4583	g4598	g5083	g4598	g4621	g4598	g4598	g4598	g4604	g4742	g4580	g5560	g5567			g4941	g5218	g4693	g4718	g4593
g3086	g4649	g4591	g4853	g4938	g4572	g5120	g5664	g5522	g4858	g4874		g4555	g4880	g4691	g5301	g4601	g4547	g3566	g4648	g4866	g4579	g5570	g4991	g4586	g4496	g4472	g4548	g4575	g4619	g4686	g4495	g4495	g4517	g4685	g4576	g4530	g4691	g5054	g4523		g4578	g4845	g4599	g4599		g5060	g4599	g4599	g4599	g4599	g4622	g4975	g4599	g5164	g4599	g4599	g4619	g4699	g5060	g4599	g4743	g4594	g4599	g4599	g4599	g4599	g4028	g4619	g4599	g4653	g4693			g4848		g4689		g5210	g4743	g5324			g4689	g5209	g4599	g5125	g4599	g4595	g5163	g4599	g5269	g4599	g4532		g3400	g3753	g5152	g4657	g4116	g4687	g4945	g4641	g4964	g5556	g5227	g4599	g4984	g4857	g4642	g5566	g4599	g4629	g4535	g4629	g4844	g5281	g4848	g4599	g5060	g5060	g3792	g4622	g4599	g4599	g4743	g4585	g4599	g5084	g4599	g4622	g4599	g4599	g4599	g4605	g4743	g4581	g5561	g5568			g4942	g5219	g4694	g4740	g4594
